IssueID,Repo,Number(sequence No. in the current repo),TDType,QA
200397056,microsoft/vscode,18458,Design TD,Usability
188421148,microsoft/vscode,15277,Test TD,Maintainability 
184823536,microsoft/vscode,14275,Design TD,Maintainability
174731634,microsoft/vscode,11444,Test TD,Maintainability 
728139912,microsoft/vscode,109231,Design TD,Reliability
379916896,microsoft/VoTT,290,Test TD,Maintainability
439355525,microsoft/PTVS,5275,Defect TD,Reliability
539930744,microsoft/BotFramework-WebChat,2764,Test TD,Maintainability
519509686,microsoft/BotFramework-WebChat,2575,Test TD,Maintainability
732557312,microsoft/botframework-solutions,3696,Design TD,Maintainability
704904267,mendahu/off-nominal-book-club,102,Architectural TD,Maintainability
507904415,Medology/gherkin-cs-fixer,7,Architectural TD,Usability
428439722,Medology/FlexibleMink,243,Architectural TD,Maintainability 
431641139,material-components/material-components-web,4589,Design TD,Maintainability
357002800,material-components/material-components-web,3508,Code TD,Reliability
249179300,material-components/material-components-web,1104,Design TD,Maintainability
133706562,marek-saji/suchbot,24,Architectural TD,Maintainability
550419818,marcelomorgado/fyght,1,Architectural TD,Maintainability
315446100,ManiacalLabs/BiblioPixel,768,Defect TD,Reliability
199534889,ManageIQ/manageiq-ui-classic,97,Design TD,Maintainability
593600024,ManageIQ/manageiq-ui-classic,6910,Design TD,Usability
257056640,ManageIQ/manageiq-ui-classic,2168,Architectural TD,Maintainability
255197230,ManageIQ/manageiq-ui-classic,2097,Architectural TD,Functional suitability
134466077,ManageIQ/manageiq,6758,Code TD,Maintainability
50541089,ManageIQ/manageiq,1139,Design TD,Maintainability
149292924,m-enochroot/websync,6,Test TD,Maintainability
177309644,madou/armory-services,39,Design TD,Usability
188152406,madou/armory-app,111,Design TD,Maintainability
144336501,macewanCS/DreamSolutions,153,Architectural TD,Maintainability
440987822,macabeus/klo-gba.js,32,Design TD,Maintainability
511814948,maar35/film-festival-planner,63,Design TD,Functional suitability
1358857,lusis/Noah,12,Code TD,Maintainability
76064567,lsecities/lsecities-wp-theme,83,Architectural TD,Maintainability
280776939,Looped-Lines/builder.js,20,Test TD,Maintainability
188051871,locationtech/geotrellis,1785,Code TD,Maintainability
197529910,LLVM-but-worse/java-disassembler,16,Architectural TD,Maintainability
389050662,LLK/scratch-paint,784,Defect TD,Reliability
204725758,LeagueDevelopers/lol-skins-viewer,2,Test TD,Maintainability
386979627,LD4P/sinopia_editor,231,Architectural TD,Maintainability
338039745,krzema12/fsynth,10,Test TD,Maintainability
361645739,KomodoPlatform/dicoapp-e,9,Code TD,Reliability
615421904,kominetz/elite-tools,6,Architectural TD,Usability
635563265,kinvolk/lokomotive,596,Design TD,Maintainability
627401390,kinvolk/lokomotive,508,Architectural TD,Maintainability
604795632,kinvolk/lokomotive,324,Architectural TD,Maintainability
292245105,kevinpapst/kimai2,120,Test TD,Maintainability 
555320070,Keeran10/CurriculumManagementSystem,217,Design TD,Maintainability 
205317187,Kazuo256/luxproject,13,Design TD,Maintainability
78058900,KazDragon/paradice9,150,Design TD,Maintainability
410297911,Karambirov/GitHubSearch,41,Design TD,Maintainability
747118824,ka-tautoro-2020/coject,2,Documentation TD,Maintainability
501178516,kappnav/issues,36,Defect TD,Reliability
485393209,kappnav/issues,20,Design TD,Compatibility
551847499,jyn514/saltwater,201,Defect TD,Reliability
247855000,jwplayer/jwplayer,2204,Design TD,Performance efficiency
468425476,jsjoeio/mentored.dev,148,Design TD,Maintainability
649772221,Joystream/joystream,864,Test TD,Maintainability
665151204,joblike/joblike-service,9,Architectural TD,Maintainability
389068692,jncc/topcat,346,Test TD,Maintainability
213555780,jiweix/RESTful,11,Design TD,Usability
213555688,jiweix/RESTful,10,Architectural TD,Usability
615516572,javiertmezac/catalog-counts,2,Architectural TD,Reliability
412626902,JamesLMilner/THREEAR,7,Architectural TD,Maintainability
217649298,Jaffacakes82/ComplainTrain,2,Test TD,Maintainability
610845175,ivarcode/schackmatt,17,Design TD,Maintainability
366298621,ITUBIDB/cavabunga-lib,14,Design TD,Reliability
369703561,ITDevLtd/MCVirt,349,Design TD,Maintainability
738076185,IronCoreLabs/tenant-security-client-nodejs,21,Requirements TD,Functional suitability
637569634,IronCoreLabs/ironoxide,166,Architectural TD,Portability
706590078,ioet/time-tracker-ui,516,Architectural TD,Maintainability 
648648916,ioet/time-tracker-ui,445,Test TD,Maintainability
497331748,Inventory-Squad/inventory,10,Documentation TD,Maintainability
364647521,inventory-squad-f18/inventory,6,Architectural TD,Maintainability
169200760,instedd/planwise,121,Architectural TD,Maintainability
488131339,input-output-hk/ouroboros-network,980,Architectural TD,Reliability
562528738,input-output-hk/ouroboros-network,1609,Design TD,Functional suitability
427656343,input-output-hk/cardano-ledger,398,Architectural TD,Maintainability
741924625,influxdata/influxdb,20013,Design TD,Maintainability
592072090,influxdata/influxdb,17541,Design TD,Usability
401576550,influxdata/influxdb,11349,Design TD,Functional suitability
717701959,igor-krupenja/zaino,437,Design TD,Functional suitability
610111946,icgc-argo/workflow-search,62,Defect TD,Reliability
31041192,icbat/tradesong,354,Build TD,Maintainability
211809669,ianstormtaylor/slate,646,Design TD,Maintainability
182323816,ianstormtaylor/slate,374,Architectural TD,Maintainability
278721251,ianstormtaylor/slate,1442,Design TD,Maintainability
603447311,iakunin/codexia-bot,55,Test TD,Maintainability
552148293,HUU/Junction,28,Test TD,Maintainability
663014668,huridocs/uwazi,3064,Defect TD,Reliability
610027160,huridocs/uwazi,2894,Design TD,Maintainability
426631514,huridocs/uwazi,2279,Defect TD,Reliability
410289656,huridocs/uwazi,2184,Defect TD,Reliability
429135526,hpi-swa/vivide,267,Design TD,Maintainability
248358293,hpi-swa/vivide,211,Design TD,Maintainability
374367885,honeypotio/website,7,Test TD,Maintainability
411140682,Hive13/HiveWeb,252,Architectural TD,Reliability
272295387,heketi/heketi,895,Test TD,Reliability
499000405,HealthCatalyst/Fabric.Cashmere,1008,Architectural TD,Maintainability 
360433994,hashicorp/terraform-provider-google,2056,Code TD,Functional suitability
413841028,hashicorp/terraform-provider-aws,7679,Code TD,Maintainability
313449976,hashicorp/terraform-provider-aws,4177,Design TD,Reliability
758778131,hashicorp/terraform-provider-aws,16633,Architectural TD,Maintainability
722490433,hashicorp/terraform-provider-aws,15662,Test TD,Maintainability
703029380,hashicorp/terraform-provider-aws,15190,Design TD,Reliability
621950466,hashicorp/terraform-provider-aws,13434,Documentation TD,Maintainability
521027954,hashgraph/hedera-mirror-node,369,Test TD,Maintainability
518796541,hashgraph/hedera-mirror-node,359,Architectural TD,Compatibility
960049,HarmonyHacks/Dahlia,22,Design TD,Reliability
287961175,hammer-io/yggdrasil,66,Design TD,Functional suitability
332046664,gwu-libraries/scholarspace-hyrax,142,Infrastructure TD,Maintainability
591478339,GreaterGamersLounge/bot_man,62,Design TD,Maintainability
107375148,GrandComicsDatabase/gcd-django,76,Defect TD,Functional suitability
209815574,GoogleCloudPlatform/google-cloud-eclipse,1467,Architectural TD,Maintainability
198783599,GoogleCloudPlatform/google-cloud-eclipse,1181,Architectural TD,Maintainability
194135877,GoogleCloudPlatform/google-cloud-eclipse,1071,Code TD,Reliability
628509196,GoogleCloudPlatform/fda-mystudies,429,Infrastructure TD,Maintainability
502006919,GoogleCloudPlatform/cloud-opensource-java,953,Versioning TD,Maintainability
414112629,GoogleCloudPlatform/cloud-opensource-java,466,Versioning TD,Portability
630795726,GoogleCloudPlatform/cloud-opensource-java,1441,Design TD,Functional suitability
249470576,GoodGamery/mtgnewsbot,130,Design TD,Performance efficiency
758534103,gnosis/safe-cmm-app-react,217,Defect TD,Reliability
641659706,globalreachtech/tinyradius-netty,62,Design TD,Reliability
